cd_cnpj;vl_latitude;vl_longitude;vl_latitude_orig;vl_longitude_orig;vl_total_veiculos_antt;vl_total_veiculos_leves;vl_total_veiculos_pesados;vlr_total_veiculos;fl_optante_simples;qt_filial;fl_optante_simei;de_saude_tributaria;de_nivel_atividade
11597509000180;-12.8532543;-38.4732502;-12,8532543;-38,4732502;;;;;1;;1;AMARELO;MEDIA
10265799000100;-22.7249861;-52.620324;-22,7249861;-52,620324;;;;;1;;0;AZUL;MEDIA
11143128000120;-8.0354027;-34.8790807;-8,0354027;-34,8790807;;;;;0;;0;AMARELO;MEDIA
10758202000150;-15.7942287;-47.8821658;-15,7942287;-47,8821658;;;;;0;;0;AMARELO;MEDIA
12317042000130;-22.8797855;-46.7930572;-22,8797855;-46,7930572;;;;;1;;0;AZUL;MEDIA
13663740000150;-25.4353767;-49.3545076;-25,4353767;-49,3545076;;1;0;1;1;;0;VERDE;MEDIA
11521175000160;-27.6140791;-48.6370861;-27,6140791;-48,6370861;;;;;1;;1;AMARELO;BAIXA
1615897000120;-16.6082151;-49.3262619;-16,6082151;-49,3262619;;;;;0;;0;;INATIVA
1030529000110;-16.7314395;-43.8765007;-16,7314395;-43,8765007;;;;;0;;0;;INATIVA
50122092000150;-22.8042143;-47.1907567;-22,8042143;-47,1907567;;;;;0;;0;;INATIVA
78924867000120;-25.4621216;-49.2125617;-25,4621216;-49,2125617;;;;;0;;0;;INATIVA
90286543000100;-29.9425469;-51.0944261;-29,9425469;-51,0944261;;;;;0;;0;;INATIVA
48089437000170;-23.5500682;-46.6347189;-23,5500682;-46,6347189;;;;;0;;0;;INATIVA
83126763000100;-26.3186638;-48.8744866;-26,3186638;-48,8744866;;;;;0;;0;;INATIVA
46230710000290;-24.1593618;-46.7500445;-24,1593618;-46,7500445;;;;;0;;0;;INATIVA
52883147000170;-20.5345101;-48.5680158;-20,5345101;-48,5680158;;;;;0;;0;;INATIVA
23762784000190;-19.9213429;-43.9421514;-19,9213429;-43,9421514;;;;;0;;0;;INATIVA
62548078000100;-23.510804;-46.503385;-23,510804;-46,503385;;;;;0;;0;;INATIVA
57566846000100;-22.9004286;-47.0646601;-22,9004286;-47,0646601;;;;;0;;0;;INATIVA
29209566000100;-22.897878;-43.3011715;-22,897878;-43,3011715;;;;;0;;0;;INATIVA
65008096000180;-23.6825451;-45.4389034;-23,6825451;-45,4389034;;;;;0;;0;;INATIVA
5949323000140;-22.9097378;-47.0555445;-22,9097378;-47,0555445;;;;;0;;0;;INATIVA
42949727000160;-22.2281438;-45.9339365;-22,2281438;-45,9339365;;;;;0;;0;;INATIVA
1520137000130;-5.8894853;-38.6216223;-5,8894853;-38,6216223;;;;;0;;0;;INATIVA
7090196000100;-26.6382234;-48.6864271;-26,6382234;-48,6864271;;;;;0;;0;;INATIVA
7297670000160;-31.4066145;-52.6712676;-31,4066145;-52,6712676;;;;;0;;0;;INATIVA
13011465000190;-10.9821895;-37.0876548;-10,9821895;-37,0876548;;;;;0;;0;;INATIVA
10182085000120;-16.2509279;-47.9604212;-16,2509279;-47,9604212;;;;;0;;0;;INATIVA
12195133000140;-23.4101816;-46.4454212;-23,4101816;-46,4454212;;;;;1;;0;AMARELO;MEDIA
14050046000120;-24.0488868;-46.5204693;-24,0488868;-46,5204693;;;;;0;;0;AZUL;ALTA
15651121000170;-3.0044161;-59.9824846;-3,0044161;-59,9824846;;;;;1;;1;AMARELO;MEDIA
15654390000190;-30.0279055;-51.2264929;-30,0279055;-51,2264929;;;;;0;;0;AZUL;MEDIA
13928772000130;-23.5236423;-46.4671836;-23,5236423;-46,4671836;;;;;1;;1;AMARELO;MEDIA
15134178000100;-23.6255903;-45.4241453;-23,6255903;-45,4241453;;;;;1;;0;VERDE;MEDIA
9582254000130;-4.7064741;-40.5601712;-4,7064741;-40,5601712;;;;;1;;0;AZUL;ALTA
14821976000130;-27.5953778;-48.5480499;-27,5953778;-48,5480499;;0;1;1;1;;1;VERDE;MEDIA
14022713000160;-3.7495215;-38.5183042;-3,7495215;-38,5183042;;;;;1;;0;AZUL;ALTA
17009889000170;-3.1979121;-59.8251337;-3,1979121;-59,8251337;;;;;1;;0;AMARELO;MEDIA
13757874000130;-16.0036875;-41.281738;-16,0036875;-41,281738;;;;;1;;1;VERDE;ALTA
13960207000150;-23.5851169;-46.6072035;-23,5851169;-46,6072035;;3;0;3;1;1;0;VERDE;ALTA
14411671000150;-22.4362174;-46.8228786;-22,4362174;-46,8228786;;;;;0;;0;AMARELO;MEDIA
13919712000150;-23.0068348;-46.8387438;-23,0068348;-46,8387438;;;;;1;;0;AMARELO;MEDIA
54892252000100;-23.6856864;-46.5669239;-23,6856864;-46,5669239;;25;0;25;0;1;0;VERDE;ALTA
10583295000120;-14.8267719;-40.7968584;-14,8267719;-40,7968584;;;;;0;;0;AZUL;ALTA
15995711000110;-20.1772418;-48.6869209;-20,1772418;-48,6869209;;;;;0;;0;;INATIVA
5425759000130;-28.7137096;-49.3091437;-28,7137096;-49,3091437;;3;0;3;1;1;0;VERDE;MEDIA
8915050000100;-8.2901802;-35.0346154;-8,2901802;-35,0346154;;;;;1;;0;AZUL;ALTA
13954635000170;-23.404242;-46.902412;-23,404242;-46,902412;;;;;0;;0;AZUL;MEDIA
96495270000190;-23.6780156;-46.8001202;-23,6780156;-46,8001202;;;;;0;;0;VERDE;ALTA
16838878000130;-8.1757888;-34.9182132;-8,1757888;-34,9182132;;;;;0;;0;;INATIVA
42152603000230;-14.7924087;-39.2763762;-14,7924087;-39,2763762;;;;;1;;0;VERDE;ALTA
11835108000110;-9.5710964;-35.7751179;-9,5710964;-35,7751179;;;;;1;;1;AMARELO;MEDIA
47478045000130;-23.3730106;-48.1842425;-23,3730106;-48,1842425;;;;;0;;0;AMARELO;MEDIA
23434889000110;-5.8180155;-46.1441419;-5,8180155;-46,1441419;;;;;0;;0;AZUL;MEDIA
15864827000110;-12.9424328;-38.4920975;-12,9424328;-38,4920975;;;;;1;;1;AMARELO;MEDIA
15370397000180;-22.2373995;-45.1514372;-22,2373995;-45,1514372;;;;;1;;0;AZUL;ALTA
2904031000100;-22.3875671;-44.9713549;-22,3875671;-44,9713549;;;;;0;;0;AZUL;ALTA
9327402000170;-23.5502586;-46.6013606;-23,5502586;-46,6013606;;;;;0;;0;AMARELO;MEDIA
8338976000180;-23.6025737;-46.6475414;-23,6025737;-46,6475414;;;;;1;;0;AZUL;ALTA
2117894000120;-19.8234183;-40.3698916;-19,8234183;-40,3698916;;;;;0;;0;AZUL;ALTA
9456273000110;-15.5455462;-55.1662687;-15,5455462;-55,1662687;;;;;1;;0;VERDE;ALTA
7824034000140;-16.049917;-47.973325;-16,049917;-47,973325;;;;;1;;0;AZUL;ALTA
13096421000100;-26.2718785;-52.6794794;-26,2718785;-52,6794794;;1;1;2;0;;0;AZUL;MEDIA
3198376000140;-15.7910509;-47.8859049;-15,7910509;-47,8859049;;;;;0;;0;AZUL;ALTA
8879385000110;-4.9495867;-47.5008802;-4,9495867;-47,5008802;;;;;0;;0;LARANJA;BAIXA
13849274000100;-23.7455033;-46.7114516;-23,7455033;-46,7114516;;;;;1;;1;AMARELO;MEDIA
15840805000110;-16.0723114;-47.9906433;-16,0723114;-47,9906433;;;;;1;;1;VERDE;ALTA
2691890000150;-22.0412844;-47.8934589;-22,0412844;-47,8934589;;;;;1;;0;LARANJA;BAIXA
5631280000150;-26.2309485;-49.3322745;-26,2309485;-49,3322745;;;;;0;;0;AMARELO;MEDIA
15513793000110;-21.0468188;-49.377302;-21,0468188;-49,377302;;;;;1;;1;VERDE;ALTA
2386884000190;-7.146062;-34.8374493;-7,146062;-34,8374493;;;;;0;;0;LARANJA;MEDIA
5035675000190;-23.4044254;-46.9021704;-23,4044254;-46,9021704;;;;;0;;0;AMARELO;MEDIA
13796241000130;-23.9607656;-46.3960797;-23,9607656;-46,3960797;;;;;0;;0;VERDE;INATIVA
